Sample,AC_RED,AC_IR,AC_GREEN,Pressure
0,0.731647,0.325049,0.040824,85.33471
1,0.7277,0.32143,0.025034,85.232621
2,0.699738,0.281954,-0.006876,85.18217
3,0.682632,0.263203,-0.019047,85.576876
4,0.682632,0.26123,-0.019376,85.413652
5,0.694803,0.287547,-0.009178,85.15368
6,0.694146,0.294455,-0.0151,85.535328
7,0.683619,0.286889,-0.018718,85.578063
8,0.65138,0.266164,-0.053259,85.46529
9,0.642827,0.253334,-0.068063,85.593495
10,0.62934,0.257611,-0.074971,85.522864
11,0.647762,0.28031,-0.060497,85.505651
12,0.651051,0.293468,-0.054246,85.612489
13,0.644143,0.269125,-0.061484,85.53236
14,0.611576,0.244452,-0.083853,85.459354
15,0.59447,0.217149,-0.106552,85.615456
16,0.575719,0.210898,-0.111815,85.754939
17,0.598417,0.226688,-0.106881,85.700333
18,0.607299,0.228004,-0.104249,85.736539
19,0.599075,0.217149,-0.107538,85.801829
0,0.566508,0.185239,-0.140764,85.734758
1,0.559599,0.165172,-0.148659,86.001853
2,0.552362,0.159909,-0.157541,85.958524
3,0.54677,0.152672,-0.164449,85.851686
4,0.574074,0.17537,-0.153264,85.867118
5,0.569797,0.182607,-0.148659,85.824977
6,0.566179,0.176686,-0.163462,85.935969
7,0.536901,0.149382,-0.200306,85.969801
8,0.530322,0.153001,-0.201293,85.826758
9,0.53394,0.153001,-0.215767,85.853467
10,0.560257,0.182278,-0.17991,85.738913
11,0.571771,0.177015,-0.175634,86.100381
12,0.567166,0.166488,-0.178595,86.252328
13,0.535256,0.13096,-0.216425,86.139555
14,0.52144,0.123065,-0.233531,86.036278
15,0.515189,0.114512,-0.231887,86.160329
16,0.545783,0.139842,-0.210175,85.970395
17,0.564863,0.128328,-0.220373,86.165077
18,0.560586,0.120762,-0.224321,86.168045
19,0.528348,0.08984,-0.250967,86.108097
0,0.526045,0.071747,-0.26577,86.296844
1,0.518808,0.074378,-0.276297,86.077826
2,0.540191,0.086221,-0.262809,86.126497
3,0.542822,0.103327,-0.263467,86.289721
4,0.535585,0.112867,-0.270704,86.143116
5,0.504663,0.081945,-0.295048,86.222057
6,0.497754,0.082931,-0.303272,86.366288
7,0.489859,0.073063,-0.309851,86.148458
8,0.503018,0.102998,-0.299982,86.181103
9,0.510584,0.111222,-0.282218,86.121155
10,0.49907,0.106288,-0.28781,86.324147
11,0.469463,0.082931,-0.304259,86.428017
